Descrição;Preço;Estrelas;TotalReviews;Url
"Smart TV LED 43"" 4K UHD LG 43UN731C, 3 HDMI, 2 USB, Wi-Fi, Assistente Virtual, Bluetooth";R$ 2.083,11;4,7 de 5 estrelas;543;https://www.amazon.com.br/LG-43UN731C-Assistente-Virtual-Bluetooth/dp/B08FJBD9L3/ref=sr_1_11?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-11&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"2021 Smart TV LG 55"" 4K OLED55C1 120Hz G-Sync FreeSync 4x HDMI 2.1 Inteligência Artificial ThinQAI Google Alexa";R$ 5.249,00;4,8 de 5 estrelas;34;https://www.amazon.com.br/LG-OLED55C1-FreeSync-Intelig%C3%AAncia-Artificial/dp/B095PXG4X6/ref=sr_1_12?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-12&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Yongluo Versão Russa Retroiluminado Teclado Sem Fio 2.4GHz Touchpad Mouse Controle Remoto Portátil 4 Cores Luz de Fundo para Android TV BOX Smart TV PC Notebook;R$ 82,69;0;0;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A082172122B3LSJ13DAEE&url=%2FRetroiluminado-Touchpad-Controle-Port%25C3%25A1til-Notebook%2Fdp%2FB09BZFYGWM%2Fref%3Dsr_1_13_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dtelevis%25C3%25A3o%26qid%3D1634264512%26s%3Delectronics%26sr%3D1-13-spons%26ufe%3Dapp_do%253Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9%26psc%3D1&qualifier=1634264512&id=6452777763275331&widgetName=sp_mtf
Yongluo MX3 portátil 2.4G sem fio controle remoto teclado controlador Air Mouse para Smart TV Android TV box mini PC HTPC;R$ 86,09;0;0;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A02358463ITAXE0YI3GJM&url=%2FYongluo-port%25C3%25A1til-controle-teclado-controlador%2Fdp%2FB09BZ9J53C%2Fref%3Dsr_1_14_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dtelevis%25C3%25A3o%26qid%3D1634264512%26s%3Delectronics%26sr%3D1-14-spons%26ufe%3Dapp_do%253Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9%26psc%3D1&qualifier=1634264512&id=6452777763275331&widgetName=sp_mtf
Yongluo D08 Teclado sem fio 2,4 GHz Touchpad Mouse Controle remoto portátil com luz de fundo LED colorida para Android TV Box Smart TV PC Notebook Laptop preto;R$ 125,39;0;0;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A09018041S4M2BHFEZ1V5&url=%2FTouchpad-Controle-port%25C3%25A1til-colorida-Notebook%2Fdp%2FB09BZ8K5F6%2Fref%3Dsr_1_15_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dtelevis%25C3%25A3o%26qid%3D1634264512%26s%3Delectronics%26sr%3D1-15-spons%26ufe%3Dapp_do%253Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74%26psc%3D1&qualifier=1634264512&id=6452777763275331&widgetName=sp_mtf
Smart TV 4K QLED 55” Ultra HD Samsung;R$ 3.749,00;0;0;https://www.amazon.com.br/Smart-TV-QLED-Ultra-Samsung/dp/B094DNR6FY/ref=sr_1_16?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-16&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"2021 Smart TV LG 32"" HD 32LM627B WiFi Bluetooth HDR ThinQAI compatível com Inteligência Artificial";R$ 1.519,05;4,7 de 5 estrelas;111;https://www.amazon.com.br/LG-Bluetooth-compat%C3%ADvel-Intelig%C3%AAncia-Artificial/dp/B095PZP1ND/ref=sr_1_17?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-17&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Smart TV Roku 4K UHD 58” TV PTV58G70RCBL 4K LED - Wi-Fi 3 HDMI, USB, PHILCO;R$ 2.639,99;4,5 de 5 estrelas;17;https://www.amazon.com.br/Smart-Roku-UHD-PTV58G70RCBL-LED/dp/B092R6H1RQ/ref=sr_1_18?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-18&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Smart TV LED 32"" HD Android SEMP 32S5300, Conversor Digital, Wi-Fi, Bluetooth, 1 USB, 2 HDMI, Comando de Voz e Google Assistant";R$ 1.405,04;4,7 de 5 estrelas;600;https://www.amazon.com.br/Semp-32S5300-TV/dp/B07WSS9X1Z/ref=sr_1_19?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-19&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"2021 Smart TV LG 50"" 4K NanoCell 50NANO75 3x HDMI 2.0 Inteligência Artificial ThinQAI Smart Magic Google Alexa";R$ 2.899,99;4,8 de 5 estrelas;15;https://www.amazon.com.br/LG-NanoCell-50NANO75-Intelig%C3%AAncia-Artificial/dp/B095PYGVH8/ref=sr_1_20?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-20&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Android TV LED 32” TCL S615 HD HDR;R$ 1.329,00;4,8 de 5 estrelas;6;https://www.amazon.com.br/Android-LED-TCL-S615-HDR/dp/B097Q5MNFV/ref=sr_1_21?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-21&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Smart TV TCL LED Ultra HD 4K 55"" Android TV com Google Assistant, Borda Ultrafina e Wi-Fi - 55P715";R$ 2.687,55;4,9 de 5 estrelas;39;https://www.amazon.com.br/Android-Led-Tcl-P715-Uhd/dp/B08DHGLSNK/ref=sr_1_22?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-22&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"TV LED 32"" LG 32LT330HBSB, 2 HDMI, 1 USB, Pro Conversor Digital";R$ 1.555,00;4,5 de 5 estrelas;777;https://www.amazon.com.br/LG-32LT330HBSB-Conversor-Digital-Bivolt/dp/B0846N3KVS/ref=sr_1_23?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-23&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Smart TV Android LED 50” 4K UHD TCL 50P615, 3 HDMI, 2 USB, Wi-Fi, Bluetooth e Controle Remoto com Comando por controle de Voz e Google Assistant;R$ 2.289,05;4,1 de 5 estrelas;16;https://www.amazon.com.br/TCL-50P615-Bluetooth-Controle-Assistant/dp/B092G5QJYY/ref=sr_1_24?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-24&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Smart TV Philco PTV42G52RCF Roku 42 Polegadas, LED FHD, 3 HDMI, 2 USB, Preta;R$ 1.699,00;5,0 de 5 estrelas;4;https://www.amazon.com.br/Smart-Philco-PTV42G52RCF-Polegadas-Preta/dp/B092R6NKBH/ref=sr_1_25?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-25&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Smart TV Philco PTV32N5SE10H, 32'' Polegadas, Tela D-LED HD, Conversor Digital, 2 HDMI, 2 USB, Preta;R$ 1.499,00;4,5 de 5 estrelas;67;https://www.amazon.com.br/Philco-PTV32N5SE10H-Polegadas-Conversor-Digital/dp/B08ZGNRF37/ref=sr_1_26?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-26&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"2021 Smart TV LG 43"" Full HD 43LM6370 WiFi Bluetooth HDR ThinQAI compatível com Inteligência Artificial";R$ 1.999,00;4,8 de 5 estrelas;17;https://www.amazon.com.br/LG-Bluetooth-compat%C3%ADvel-Intelig%C3%AAncia-Artificial/dp/B095PY7423/ref=sr_1_27?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-27&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
TV PHILCO PTV32D10N5SKH LED Grande;R$ 1.319,01;4,0 de 5 estrelas;1;https://www.amazon.com.br/TV-PHILCO-PTV32D10N5SKH-LED-Grande/dp/B094LZ2BDS/ref=sr_1_28?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-28&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Smart TV Philips 43PFG6825/78-43"" Full HD sem bordas, HDR Plus, 3 HDMI, 1 USB, Wifi Miracast, Conversor digital, Netflix, Youtube, Globoplay e Prime Video";R$ 1.899,99;4,1 de 5 estrelas;48;https://www.amazon.com.br/Philips-43PFG6825-Miracast-Conversor-Globoplay/dp/B08VZYX2ZH/ref=sr_1_29?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264512&s=electronics&sr=1-29&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Yongluo TZ10 2.4 GHz teclado sem fio touchpad mouse controle remoto portátil com luz de fundo colorida para caixa de TV Android Smart TV PC notebook laptop preto;R$ 119,69;0;0;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg1_1?ie=UTF8&adId=A0858096334XAD276OR3O&url=%2Ftouchpad-controle-port%25C3%25A1til-colorida-notebook%2Fdp%2FB09BZ95LWX%2Fref%3Dsr_1_31_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dtelevis%25C3%25A3o%26qid%3D1634264512%26s%3Delectronics%26sr%3D1-31-spons%26ufe%3Dapp_do%253Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d%26psc%3D1&qualifier=1634264512&id=6452777763275331&widgetName=sp_btf
Miaoqian T18 2.4G Mini teclado sem fio backlit Air Mouse com controle remoto inteligente com touchpad completo para projetor de PC com caixa de TV Android;R$ 158,75;0;0;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg1_1?ie=UTF8&adId=A06522561TTUQ6NQKWGWI&url=%2FMiaoqian-controle-inteligente-touchpad-completo%2Fdp%2FB09C7MVCQL%2Fref%3Dsr_1_32_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dtelevis%25C3%25A3o%26qid%3D1634264512%26s%3Delectronics%26sr%3D1-32-spons%26ufe%3Dapp_do%253Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12%26psc%3D1&qualifier=1634264512&id=6452777763275331&widgetName=sp_btf
Andoer Wechip W2 2.4G Teclado sem fio Air Mouse com Touchpad Mouse Controle remoto infravermelho para projetor Android PC;R$ 147,99;5,0 de 5 estrelas;1;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg1_1?ie=UTF8&adId=A070151234TDR0XJR3JS3&url=%2FTeclado-Touchpad-Controle-infravermelho-projetor%2Fdp%2FB08L9F491L%2Fref%3Dsr_1_33_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dtelevis%25C3%25A3o%26qid%3D1634264512%26s%3Delectronics%26sr%3D1-33-spons%26ufe%3Dapp_do%253Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74%26psc%3D1&qualifier=1634264512&id=6452777763275331&widgetName=sp_btf
"KKmoon Capa para TV externa 30""- 32"" à prova d'água Protetor de TV à prova de poeira com controle remoto Tampa inferior de bolso para aparelhos de televisão de plasma LED LCD";R$ 155,49;0;0;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg2_1?ie=UTF8&adId=A04268713SKUQXB4LV3GV&url=%2FProtetor-controle-inferior-aparelhos-televis%25C3%25A3o%2Fdp%2FB08L592QW5%2Fref%3Dsr_1_25_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dtelevis%25C3%25A3o%26qid%3D1634264514%26s%3Delectronics%26sr%3D1-25-spons%26ufe%3Dapp_do%253Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12%26psc%3D1&qualifier=1634264514&id=2661118511892802&widgetName=sp_atf_next
"Btuty Cobertura de TV ao ar livre 46""-48"" à prova água À Prova de Poeira Protetor de Controle Remoto de Bolso de Controle de Tampa Inferior Compatible with LED Conjuntos de Televisão";R$ 181,99;0;0;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg2_1?ie=UTF8&adId=A09499373MQDQGBUJQI9J&url=%2FBtuty-Cobertura-Compatible-Conjuntos-Televis%25C3%25A3o%2Fdp%2FB08BCM6XBT%2Fref%3Dsr_1_26_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dtelevis%25C3%25A3o%26qid%3D1634264514%26s%3Delectronics%26sr%3D1-26-spons%26ufe%3Dapp_do%253Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678%26psc%3D1&qualifier=1634264514&id=2661118511892802&widgetName=sp_atf_next
Tomshin MX3 portátil 2.4G sem fio controle remoto teclado controlador Air Mouse para Smart TV Android TV box mini PC HTPC;R$ 96,35;0;0;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg2_1?ie=UTF8&adId=A0025775SJLJI4STMIII&url=%2FTomshin-port%25C3%25A1til-controle-teclado-controlador%2Fdp%2FB09BHQD9ZZ%2Fref%3Dsr_1_27_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dtelevis%25C3%25A3o%26qid%3D1634264514%26s%3Delectronics%26sr%3D1-27-spons%26ufe%3Dapp_do%253Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d%26psc%3D1&qualifier=1634264514&id=2661118511892802&widgetName=sp_atf_next
Smart TV LED 32'' HD Samsung LH32BETBLGGXZD;R$ 1.559,98;4,7 de 5 estrelas;1.008;https://www.amazon.com.br/Smart-TV-LED-Samsung-LH32BETBLGGXZD/dp/B0899BRB4B/ref=sr_1_29?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264514&s=electronics&sr=1-29&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Smart TV Samsung Crystal UHD TU8000 4K 82, Borda Infinita, Visual Livre de Cabos e Wi-Fi - UN82TU8000GXZD""";R$ 8.799,00;0;0;https://www.amazon.com.br/Samsung-Crystal-TU8000-Infinita-Visual/dp/B08NFKN2TZ/ref=sr_1_30?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264514&s=electronics&sr=1-30&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Android TV LED 40” TCL S615 FULL HD HDR;R$ 1.804,05;4,0 de 5 estrelas;3;https://www.amazon.com.br/Android-LED-TCL-S615-FULL/dp/B097Q1RBKG/ref=sr_1_31?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264514&s=electronics&sr=1-31&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"2021 Smart TV LG 60"" 4K UHD 60UP7750 WiFi Bluetooth HDR Inteligência Artificial ThinQAI Smart Magic Google Alexa";R$ 3.609,03;5,0 de 5 estrelas;2;https://www.amazon.com.br/LG-60UP7750-Bluetooth-Intelig%C3%AAncia-Artificial/dp/B095PXTNBP/ref=sr_1_32?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264514&s=electronics&sr=1-32&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Smart TV LED 32"" HD LG 32LM621CBSB.A, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Active HDR, ThinQ AI";R$ 1.649,00;4,8 de 5 estrelas;4.299;https://www.amazon.com.br/Smart-LG-Bluetooth-Active-32LM621CBSB/dp/B07WBV8CCJ/ref=sr_1_34?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264514&s=electronics&sr=1-34&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"2021 Smart TV LG 55"" 4K NanoCell 55NANO85 120Hz FreeSync 2 HDMI 2.1 Inteligência Artificial ThinQAI Google Alexa";R$ 4.434,76;4,5 de 5 estrelas;2;https://www.amazon.com.br/LG-NanoCell-55NANO85-Intelig%C3%AAncia-Artificial/dp/B095PWJTY8/ref=sr_1_35?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264514&s=electronics&sr=1-35&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Smart TV LED 43"" Philips 43PFG5813/78, Ultra Slim, Wi-Fi, 2 HDMI, 2 USB";R$ 1.899,00;3,8 de 5 estrelas;139;https://www.amazon.com.br/Smart-Ultra-Philips-43PFG5813-78/dp/B07GRCV8W1/ref=sr_1_37?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264514&s=electronics&sr=1-37&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Smart TV LED 50"" SEMP SK8300 Ultra HD 4K HDR, Android, Wi-Fi, Chromecast Integrado";R$ 2.299,99;4,8 de 5 estrelas;40;https://www.amazon.com.br/Android-LED-SEMP-SK8300-Ultra/dp/B08DWWVSFC/ref=sr_1_38?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264514&s=electronics&sr=1-38&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Smart TV LED PRO 43"" Full HD LG 43LM631C0SB, ThinQ AI, 3 HDMI, 2 USB, Wi-Fi, Conversor Digital";R$ 2.399,00;4,8 de 5 estrelas;908;https://www.amazon.com.br/Smart-LG-3LM631C0SB-Conversor-Digital/dp/B07WJX6PHL/ref=sr_1_39?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=televis%C3%A3o&qid=1634264514&s=electronics&sr=1-39&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
