Descrição;TotalReviews;Preço;Url;Loja;Modelo;Categoria
"Notebook Dell Inspiron 3501-M46P 15.6"" HD 10ª Geração Intel Core i5 8GB 256GB SSD Windows Preto";9;3599.1;https://www.americanas.com.br/produto/3714683077?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=61168ada549cd5594fe46f4b;Americanas;Dell;Notebook
Notebook Gamer Acer Nitro 5 AN515-54-574Q Intel Core i5 8GB 512GB ssd gtx 1650 15.6' Full HD Endless;18;4975.17;https://www.americanas.com.br/produto/1788009544?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=610873c052131c3c81360cb2;Americanas;Acer;Notebook
Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15,6'' Branco NP550XDA-KO2BR;34;2364.55;https://www.americanas.com.br/produto/3081358679?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=607b01460c0704426624a29f&buyboxToken=smartbuybox-acom-v2-6b8e9dbf-bfe8-4b76-9ce3-24f641891815-2021-10-15 11:08:33-0300;Americanas;Samsung;Notebook
Notebook Positivo Motion Q464C Intel Atom Quad Core 4GB 64GB eMMC 14,1'' W10 - Cinza;40;1633.22;https://www.americanas.com.br/produto/2859505618?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=602d5d2a0c07044266194940&buyboxToken=smartbuybox-acom-v2-c01a4df9-8a7e-43b2-9404-67dba12e1043-2021-10-15 11:18:08-0300;Americanas;Positivo;Notebook
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Branco NP550XDA-KT2BR;52;2839.55;https://www.americanas.com.br/produto/3081358708?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=608bf92f52131c3c81814d01&buyboxToken=smartbuybox-acom-v2-b2555e5a-6c7c-451f-9b20-9a522f1b0ac1-2021-10-15 11:18:08-0300;Americanas;Samsung;Notebook
"Kit Notebook Dell Inspiron i3501-M10PC 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Windows 10 + Capa Essential";11;2744.1;https://www.americanas.com.br/produto/3246712657?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6090037a52131c3c81de9a3c;Americanas;Dell;Notebook
"Notebook Positivo 2 em 1 Duo C464C Intel Celeron 4GB 64GB W10 IPS Full HD 11.6""";87;1612.26;https://www.americanas.com.br/produto/1885941991?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f6b3db31b186381b5d9fc80&buyboxToken=smartbuybox-acom-v2-b4df0944-fe75-4595-bc0c-55b399a00892-2021-10-15 11:18:08-0300;Americanas;Positivo;Notebook
Notebook Samsung Book Intel Core I7-1165G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD 15.6'' Cinza Chumbo NP550XDA-KS1BR;32;4422.82;https://www.americanas.com.br/produto/3081358100?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=608bf92f52131c3c81814bac;Americanas;Samsung;Notebook
"Notebook Dell Inspiron i3501-M10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Windows 10 Preto";26;2609.1;https://www.americanas.com.br/produto/3246712753?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6090037952131c3c81de976d;Americanas;Dell;Notebook
Notebook Gamer Acer Aspire Nitro AN515-43-R9K7 AMD R5 8GB (GeForce GTX1650 4GB) 1TB + 256GB SSD 15,6'' FHD Endless Os - Preto;42;4939.24;https://www.americanas.com.br/produto/1824323531?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f2c1ec379bf8430cb71cbf5&buyboxToken=smartbuybox-acom-v2-0007fbd9-2dd0-41ae-a842-d8c1f1261de8-2021-10-15 11:18:09-0300;Americanas;Acer;Notebook
"Notebook Lenovo Ultrafino Ideapad S145 Intel Core i5-1035G1 8GB 256GB SSD W10 15.6"" Prata";1;3229.99;https://www.americanas.com.br/produto/3515105021?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6113d7b9549cd5594f34748b&buyboxToken=smartbuybox-acom-v2-6ad0dc89-feac-43b3-90d7-ede337a6cc32-2021-10-15 11:08:55-0300;Americanas;Lenovo;Notebook
"Notebook Samsung Flash F30 Intel Celeron 4GB 64GB SSD Full HD Tela LED 13.3"" Windows 10 - Coral";161;3074.05;https://www.americanas.com.br/produto/134187974?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5db856cb60de01a83e960201&buyboxToken=smartbuybox-acom-v2-1bc30e76-fb1c-48a7-aa61-dd68f2ab2267-2021-10-15 11:18:09-0300;Americanas;Samsung;Notebook
"Notebook Ultrafino Dell Inspiron i5502-M40S 15.6"" Full HD 11ª G. Intel Core i7 16GB 512GB SSD NVIDIA GeForce Windows 10";13;5974.32;https://www.americanas.com.br/produto/2965392291?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=603e26ee0c0704426645e6a6;Americanas;Dell;Notebook
"Notebook Dell Inspiron I15-3583-AS90P 8ª Intel Core I7 8GB 256GB SSD 15,6"" W10";14;4464.99;https://www.americanas.com.br/produto/1936036537?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f4d81e7cc79e88b86283f9b;Americanas;Dell;Notebook
Notebook Acer Aspire 5 A515-54G-52C1 Intel Core i5-10210U 8GB (MX250 2GB) 512GB W10 15.6'' ¿ Prata;35;4169.55;https://www.americanas.com.br/produto/3281043348?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60b6218452131c3c81f12753;Americanas;Acer;Notebook
"Notebook Ultrafino Dell Inspiron i5402-M10S 14"" Full HD 11ª Geração Intel Core i5 8GB 256GB SSD Windows 10 Prata";10;4589.1;https://www.americanas.com.br/produto/2965391600?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6054d70e0c07044266ff4d1d;Americanas;Dell;Notebook
Notebook Acer Aspire 3 Intel Celeron 4GB 1TB Endless;16;2483.1;https://www.americanas.com.br/produto/1850094189?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f189ec779bf8430cb940c6f&buyboxToken=smartbuybox-acom-v2-6d502d83-cb91-4f0c-ac9e-531f56b164cb-2021-10-15 11:18:09-0300;Americanas;Acer;Notebook
Notebook Positivo Motion Q4128C Intel Atom-Z8350 4GB 128GB W10 14,1'' Dourado;2;1662.49;https://www.americanas.com.br/produto/3327921071?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60c8976352131c3c814b689a;Americanas;Positivo;Notebook
"Notebook 2 em 1 Dell Inspiron 5406-M10S 14"" Touch 11ª Geração Intel Core i3 4GB 128GB SSD Windows 10 McAfee";12;3959.1;https://www.americanas.com.br/produto/2866312152?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=601a9e3d0c07044266f352c7;Americanas;Dell;Notebook
"Notebook Dell Inspiron i3501-M25P 15.6"" HD 10ª Geração Intel Core i3 4GB 256GB SSD Windows 10 Preto";16;3149.1;https://www.americanas.com.br/produto/2965391837?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=603e26ce0c0704426645a97f;Americanas;Dell;Notebook
Notebook Acer Aspire 5 A514-53-32LB Intel Core I3 Windows 10 Home 4GB ram 128GB ssd 14.0';7;3134.05;https://www.americanas.com.br/produto/2935475909?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=603675720c07044266ae0916;Americanas;Acer;Notebook
Notebook Samsung Tela 11.6 N4000 32GB 4GBRAM Chromebook XE310XBA-KT1BR;2;1790.91;https://www.americanas.com.br/produto/3316799656?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60d25aed52131c3c81995fc9&buyboxToken=smartbuybox-acom-v2-fe098ca7-0a39-4c79-bfff-c3cdbfcc6c6e-2021-10-15 11:18:09-0300;Americanas;Samsung;Notebook
Notebook Acer Aspire 5 A514-54G-54Y4 Intel Core i5 11ª Gen Windows 10 Home 8GB 256GB ssd 14' Full HD;0;4060.34;https://www.americanas.com.br/produto/3825089089?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=612d56cf09c351890d69c561;Americanas;Acer;Notebook
"Notebook Samsung Flash F30 Intel Celeron 4GB 64GB SSD Full HD 13.3"" W10 - Cinza";152;3074.05;https://www.americanas.com.br/produto/134187878?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5db856d160de01a83e9622d8&buyboxToken=smartbuybox-acom-v2-293b426f-92f7-4b03-b482-a7d5a05c25b3-2021-10-15 11:18:09-0300;Americanas;Samsung;Notebook
Notebook Positivo Motion Q4128C Intel Atom-Z8350 4GB 128GB eMMC W10 14,1'' - Cinza;18;2159.1;https://www.americanas.com.br/produto/2875670912?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6117f2a809c351890d81e3d6&buyboxToken=smartbuybox-acom-v2-82cc8ea5-4a4e-4de0-88a9-4bafa2f7111b-2021-10-15 11:18:09-0300;Americanas;Positivo;Notebook
"Notebook Dell Inspiron i3501-U20P 15.6"" HD 10ª Geração Intel Core i3 4GB 128GB SSD Linux Preto";1;2834.1;https://www.americanas.com.br/produto/2965392127?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=603e26cf0c0704426645ac66;Americanas;Dell;Notebook
"Notebook Positivo Motion Intel Atom Q464B 4GB 64GB SSD 14"" Windows 10 Cinza";95;1899.0;https://www.americanas.com.br/produto/1682950125?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5ef4c2c279bf8430cbcd0149&buyboxToken=smartbuybox-acom-v2-02528295-122f-464e-9562-9ba1ef7318cc-2021-10-15 11:18:16-0300;Americanas;Positivo;Notebook
Notebook Acer Aspire 5 A514-53-59QJ Intel Core I5 8GB 256GB ssd 14' Windows 10;13;3500.77;https://www.americanas.com.br/produto/2587924658?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5fbc2963762ff36719917893;Americanas;Acer;Notebook
"Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB (Intel Iris Xe) W10 FHD 15.6"" - Cinza Chumbo";4;3699.99;https://www.americanas.com.br/produto/3081357932?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6108369d52131c3c8183de15&buyboxToken=smartbuybox-acom-v2-41f84f38-118e-4fb8-9cd8-9d3a3e27afd5-2021-10-15 11:18:16-0300;Americanas;Samsung;Notebook
"Notebook Dell Inspiron 3501-M46S 15.6"" HD 10ª Geração Intel Core i5 8GB 256GB SSD Windows";0;3959.1;https://www.americanas.com.br/produto/3714683624?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=61168ada549cd5594fe46fcc;Americanas;Dell;Notebook
"Notebook Dell Inspiron i3501-U10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Linux Preto";2;2744.1;https://www.americanas.com.br/produto/3246712374?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=609003d552131c3c81df19cf;Americanas;Dell;Notebook
"Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' - Cinza Chumbo + Mochila Targus Geolite Essential 15,6"" Cinza";0;2799.99;https://www.americanas.com.br/produto/3278142898?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60b236c952131c3c81eeace4;Americanas;Samsung;Notebook
"Notebook Positivo Motion Gold 14.1"" HD, LED, Intel Atom Z8350, 4GB RAM, 64 GB eMMC, Q464C, Dourado";0;1299.99;https://www.americanas.com.br/produto/3873872772?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=613abcc309c351890dd5257e;Americanas;Positivo;Notebook
"Notebook Lenovo Ultrafino Ideapad S145 8ª Intel Core I7 8GB (Geforce MX110 com 2GB) 1TB W10 15,6"" Prata";159;4999.0;https://www.americanas.com.br/produto/134573381?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5fb02c5f762ff3671977ff56;Americanas;Lenovo;Notebook
"Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB (Intel Iris Xe) W10 FHD 15.6"" - Branco + Mochila Targus Intellect Essential 15,6"" - Black";1;4299.99;https://www.americanas.com.br/produto/3278138021?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60b234bc52131c3c81eca32e;Americanas;Samsung;Notebook
Notebook Samsung Book Intel Core i5, 8GB, 256GB ssd, Intel Iris Xe, 15.6'' Full HD LED;8;4999.0;https://www.americanas.com.br/produto/3500912170?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6154eb3509c351890d6a3fcf;Americanas;Samsung;Notebook
Notebook Acer Aspire 5 A514-53G-51BK Intel Core i5 8GB 256GB ssd 14' Windows 10;6;4084.05;https://www.americanas.com.br/produto/3221940442?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60882a0152131c3c81620989;Americanas;Acer;Notebook
"Notebook Dell Inspiron 3501-M50P 15.6"" HD 11ª Geração Intel Core i5 8GB 256GB SSD NVIDIA GeForce Windows 10 Preto";0;4229.1;https://www.americanas.com.br/produto/3221592273?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6131091209c351890d6abb6b;Americanas;Dell;Notebook
Notebook Gamer Acer 9º Geração Intel Core i5-9300H 8GB HD 1T+128SSD GeForceGTX1650 Tela 15.6 Polegadas;5;5039.1;https://www.americanas.com.br/produto/1902742556?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f2dabc579bf8430cbf15e6c;Americanas;Acer;Notebook
"Notebook Lenovo V14 i5-1135G7 8GB 256SSD Intel Iris Xe Graphics Win 10 Home 14"" HD 82NM000EBR Preto";2;3475.12;https://www.americanas.com.br/produto/3628122206?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6102b7da52131c3c8174e15d;Americanas;Lenovo;Notebook
"Notebook Ultrafino Dell Inspiron i5502-M10S 15.6"" Full HD 11ª Geração Intel Core i5 8GB 256GB SSD Windows 10 Prata";8;5219.1;https://www.americanas.com.br/produto/2965392346?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6054d7ff0c0704426600a2cc;Americanas;Dell;Notebook
"Notebook Dell Inspiron i3501-U25P 15.6"" HD 10ª Geração Intel Core i3 4GB 256GB SSD Linux Preto";4;3239.1;https://www.americanas.com.br/produto/2965391984?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=603e26bd0c07044266458dfb;Americanas;Dell;Notebook
Notebook Positivo Motion Gold C4128E-S Intel Celeron-N3350 4GB 128GB SSD W10 14,1'' Dourado;0;1877.19;https://www.americanas.com.br/produto/3346547100?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60d1e71b52131c3c81c3113e;Americanas;Positivo;Notebook
"Notebook Dell Inspiron I15-3501-A25P Intel Core I3-1005G1 4GB 256GB SSD W10 15.6"" - Preto + Office 365 Personal";1;3349.99;https://www.americanas.com.br/produto/3155359974?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=61520a6f09c351890d7d16e5;Americanas;Dell;Notebook
"Notebook Lenovo Ultrafino Ideapad 3 AMD Ryzen 7 8GB 256GB SSD W10 15.6"" Prata";2;3989.99;https://www.americanas.com.br/produto/3383639290?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=61151987549cd5594f44be1d;Americanas;Lenovo;Notebook
Notebook Samsung Galaxy Book S 13.3'' Intel Core i5 Full HD Led;2;5444.1;https://www.americanas.com.br/produto/3024034862?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=604d1c000c0704426618fc32;Americanas;Samsung;Notebook
"Notebook Lenovo V14 i3-1115G4 8GB 256GB SSD Windows 10 Home 14"" 82NM0006BR Preto";0;3052.72;https://www.americanas.com.br/produto/3628117790?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6102b7b552131c3c81744bb0;Americanas;Lenovo;Notebook
"Notebook Dell Inspiron 3501-U41P 15.6"" HD 10ª Geração Intel Core i5 4GB 256GB SSD Linux Preto";0;3464.1;https://www.americanas.com.br/produto/3714684467?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=61168ae8549cd5594fe49a48;Americanas;Dell;Notebook
"Notebook Dell Inspiron I15-3501-A10P Intel Pentium Gold-7505 4GB 128GB W10 HD 15,6"" - Preto + Mochila Targus Geolite Essential 15,6"" - Cinza";0;2999.99;https://www.americanas.com.br/produto/3694300365?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=61557bb909c351890da42bcc;Americanas;Dell;Notebook
"Notebook Ultrafino Dell Inspiron i5402-U10S 14"" Full HD 11ª Geração Intel Core i5 8GB 256GB SSD Linux Prata";2;4454.1;https://www.americanas.com.br/produto/2965391431?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6054d8000c0704426600a49c;Americanas;Dell;Notebook
"Kit Notebook 2 em 1 Dell Inspiron 5406-OS10SF 14"" Touch 11ª Ger Intel Core i3 4GB 128GB SSD Windows 10 Microsoft 365";1;3959.1;https://www.americanas.com.br/produto/2866311985?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=601a9e4b0c07044266f37071;Americanas;Dell;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB (GeForce MX330 2GB) 256GB SSD W10 15,6"" Prata + Webcam Lenovo 300 Full Hd 1080p Com Microfone Integrado Gxc1b34793";0;4649.99;https://www.americanas.com.br/produto/3735692221?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=611d436609c351890d597f4c;Americanas;Lenovo;Notebook
Notebook Samsung, Intel Core i7 10510U, 16GB, 1TB + 128GB ssd, Tela de 15,6, Prata, Book X55 - NP550XCJ-XS2BR;2;6236.01;https://www.americanas.com.br/produto/3280542057?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60aea2ed52131c3c8173c533;Americanas;Samsung;Notebook
"Notebook 2 em 1 Dell Inspiron 5406-M30S 14"" Full HD Touch 11ª Geração Intel Core i7 8GB 256GB SSD Windows 10 McAfee";11;5579.1;https://www.americanas.com.br/produto/2866312110?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=605c92f40c07044266c922fc;Americanas;Dell;Notebook
"Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' - Cinza Chumbo + Mochila Targus Intellect Essential 15,6"" - Black";0;2899.99;https://www.americanas.com.br/produto/3279920241?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60a43fd352131c3c8197172e;Americanas;Samsung;Notebook
"Notebook Samsung Book Intel Core i5-1135G7 8GB 256GB SSD (Intel Iris Xe) W10 FHD 15.6"" - Cinza Chumbo + Mochila Targus Intellect Essential 15,6"" - Black";0;4499.99;https://www.americanas.com.br/produto/3278129618?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60b232db52131c3c81ea426d;Americanas;Samsung;Notebook
"Notebook Ultraportátil Dell Inspiron 5301-M10S 13.3"" Full HD 11ª Geração Intel Core i5 8GB 256GB SSD Windows 10 Prata";3;5039.1;https://www.americanas.com.br/produto/2753951492?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5ffd8ca10c07044266c5d4d8;Americanas;Dell;Notebook
"Notebook Lenovo Yoga 7i 2 em 1 14"" i5-1135G7 8GB 256GB SSD Placa de Vídeo Intel Iris® Xe W10 FHD WVA";0;5895.12;https://www.americanas.com.br/produto/3628124746?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6102b80352131c3c81758fad;Americanas;Lenovo;Notebook
"Notebook Dell Inspiron I15-3583-AS90P 8ª Intel Core I7 8GB 256GB SSD 15,6"" W10 + Mochila Targus Geolite Essential 15,6"" Cinza";0;5299.99;https://www.americanas.com.br/produto/2466171063?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=61647a4709c351890dc94c4d;Americanas;Dell;Notebook
"Notebook Acer Aspire 3 A315-23-R1J9 AMD Ryzen 7-3700U 12GB 'AMD Radeon RX Vega 10' 256GB SSD W10 15,6'' - Preto + Mochila Targus Geolite Essential 15,6"" - Cinza";0;3894.99;https://www.americanas.com.br/produto/3694286524?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=61158b27549cd5594f927841;Americanas;Acer;Notebook
"Notebook Ultrafino Dell Inspiron i5402-M30S 14"" Full HD 11ª Ger. Intel Core i7 16GB 256GB SSD NVIDIA GeForce Windows 10";1;5939.1;https://www.americanas.com.br/produto/2965391765?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=603e26930c070442664539ef;Americanas;Dell;Notebook
Notebook Lenovo, Intel CoreT i5 10210U, 8GB, 256GB ssd, Tela de 15,6, uhd Graphics, Prata, IdeaPad 3i - 82BS0005BR;1;3464.01;https://www.americanas.com.br/produto/3467986395?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60d9d76c52131c3c810458f1;Americanas;Lenovo;Notebook
"Notebook Dell Inspiron i3501-M20P 15.6"" HD 10ª Geração Intel Core i3 4GB 128GB SSD Windows 10 Preto";1;2969.1;https://www.americanas.com.br/produto/2965391722?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=603e26be0c07044266459086;Americanas;Dell;Notebook
Notebook Lenovo Ultrafino ideapad S145 Ryzen 5 12GB 1TB Linux 15.6;1;3190.5;https://www.americanas.com.br/produto/3575721781?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60f7286652131c3c81ac014d;Americanas;Lenovo;Notebook
Notebook Lenovo Ideapad S145 10ª Intel Core i5 8GB 1TB W10 15,6'' Prata;72;5277.8;https://www.americanas.com.br/produto/1725483978?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=607737a70c07044266cc5bbc;Americanas;Lenovo;Notebook
"Notebook Samsung Book E20 Intel Celeron 4GB 500GB W10 15,6"" - Branco";53;3899.0;https://www.americanas.com.br/produto/1772551021?pfm_carac=notebook&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5fd38e220c070442666e6567;Americanas;Samsung;Notebook
