descricao;Total_Reviews;preco;url;loja
Smart TV 40'' Philco PTV40G60SNBL FHD com Tela Infinita Audio Dolby Loja de Aplicativos e Processador Quadcore;316;1699.99;https://www.americanas.com.br/produto/1508411046?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e84f47079bf8430cbbfa8e6&buyboxToken=smartbuybox-acom-v2-42d6373d-d2e1-466c-b903-6d544bd13ad8-2021-10-14 11:27:43-0300;Americanas
Smart TV AOC Roku LED 43'' 43S5195/78 com Wi-Fi Full HD 3 HDMI 1 USB com Controle Remoto com atalhos Roku Mobile Miracast,;306;1799.99;https://www.americanas.com.br/produto/1515649301?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e70d46d79bf8430cb40699a&buyboxToken=smartbuybox-acom-v2-61faabab-99bd-4720-9d7d-3175a4442b61-2021-10-14 11:22:04-0300;Americanas
"Smart TV Philco 42"" Roku LED Full HD - 42G52RCF com App Mobile 3 Hdmi 2 Usb Wifi Dolby Audio";9;1699.99;https://www.americanas.com.br/produto/3280822551?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6136384b09c351890db9fb8c;Americanas
"Smart TV LED 43"" Full HD LG 43LM 631 PRO 3 HDMI 2 USB Wi-Fi ThinQ Al Conversor Digital";8;1996.65;https://www.americanas.com.br/produto/3787572503?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=613fb02809c351890db2ba72&buyboxToken=smartbuybox-acom-v2-b192b129-98e3-46f5-a32b-10c5963c3689-2021-10-14 11:18:04-0300;Americanas
Smart TV LED 42'' Philco Full HD - PTV42G70N5CF com Midiacast;0;1999.9;https://www.americanas.com.br/produto/2638610289?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60a55fb552131c3c8177ae09&buyboxToken=smartbuybox-acom-v2-e9b54944-5d7e-4239-9d06-dd7b1c123cdb-2021-10-14 11:19:59-0300;Americanas
"Smart TV LED 39"" HD Philco PTV39G60S Processador Quad Core GPU Triple Core HDR Mídia Cast Wi-Fi 2 HDMI 1 USB";84;1599.99;https://www.americanas.com.br/produto/1695817622?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5ef1060d79bf8430cbebf2d7&buyboxToken=smartbuybox-acom-v2-5d20e5a3-2677-4507-9731-bf7dc047246c-2021-10-14 11:27:43-0300;Americanas
Smart TV Led 43'' LG 43LM6300 FHD Thinq AI Conversor Digital Integrado 3 HDMI 2 USB Wi-Fi;853;2799.9;https://www.americanas.com.br/produto/134444740?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60cca96752131c3c81665f77&buyboxToken=smartbuybox-acom-v2-ea740d42-c236-46ae-8c13-a6b6654e7e93-2021-10-14 11:27:43-0300;Americanas
"Smart TV LED 32"" Panasonic TC-32FS500B";37;1341.29;https://www.americanas.com.br/produto/1903221517?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5fb52a10762ff36719f1bd92&buyboxToken=smartbuybox-acom-v2-0b80919b-36b6-44e3-b8fb-44db6aa82907-2021-10-14 11:27:43-0300;Americanas
"Samsung Smart Tv 50"" Uhd 4k 50au7700, Processador Crystal 4k, Tela Sem Limites, Visual Livre De Cabos, Alexa Built In.";92;3099.99;https://www.americanas.com.br/produto/3069506106?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=608acb2152131c3c81e23044&buyboxToken=smartbuybox-acom-v2-70031c6e-ec93-478a-aaba-6edc98e35a07-2021-10-14 11:27:43-0300;Americanas
"Smart TV LED LG 24"" Monitor Wi-Fi Webos 3.5 DTV Machine Ready";0;1156.99;https://www.americanas.com.br/produto/1708933455?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5ec52b7d79bf8430cbc05c97&buyboxToken=smartbuybox-acom-v2-ecd00c4b-5811-47d5-a9ae-ede3463580a6-2021-10-14 11:27:43-0300;Americanas
Smart TV LED 55” Philco PTV55Q20SNBL Ultra HD 4k HDR Borda Infinita Com Aplicativos E Audio Dolby;282;2339.99;https://www.americanas.com.br/produto/1441079498?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e222edd1729c3bbf132061b&buyboxToken=smartbuybox-acom-v2-fea8b749-a8dd-4c3f-82fd-64d64871f6df-2021-10-14 11:27:43-0300;Americanas
"Samsung Smart Tv 60"" Crystal Uhd 4k 60au8000, Painel Dynamic Crystal Color, Design Slim, Tela Sem Limites.";56;3599.99;https://www.americanas.com.br/produto/3069509067?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=608acb6252131c3c81e2ab21&buyboxToken=smartbuybox-acom-v2-16f1083c-b3b5-4d0b-8961-32e6c0548428-2021-10-14 11:27:43-0300;Americanas
"Smart TV Philips 50"" UHD 4K 50PUG7625 Wi-Fi HDR10+ Dolby Vision e Dolby Atmos com Bluetooth Bordas Ultrafinas";111;2499.99;https://www.americanas.com.br/produto/2742387144?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6012d1b30c07044266c7eb4c&buyboxToken=smartbuybox-acom-v2-0554c1ec-3345-4ea7-819e-1ef1b2c1b210-2021-10-14 11:19:55-0300;Americanas
"Smart TV 50"" LG 50UN7310 UHD 4K Wifi Bluetooth Hdr Inteligência Artificial Thinq Ai";569;2999.99;https://www.americanas.com.br/produto/1733188661?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5ee7953a79bf8430cba74229&buyboxToken=smartbuybox-acom-v2-0a4e6f97-80c9-4a2a-9ff7-8f1c8990c230-2021-10-14 11:24:41-0300;Americanas
Samsung Smart TV LED 40'' Tizen FHD 40T5300 2020 com WIFI HDR para Brilho e Contraste e Plataforma Tizen;656;1727.89;https://www.americanas.com.br/produto/1704351001?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60f5bc6752131c3c81e933c9&buyboxToken=smartbuybox-acom-v2-1757cf11-f7c4-49a4-b856-8404c44bf65f-2021-10-14 10:57:31-0300;Americanas
Smart TV LED 32'' Samsung Tizen HD 32T4300 2020 - WIFI, HDR para Brilho e Contraste com Plataforma Tizen 2 HDMI 1 USB - Preta;838;1381.96;https://www.americanas.com.br/produto/1618074503?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=614937c909c351890d8be8f4&buyboxToken=smartbuybox-acom-v2-dba23e84-8b18-450c-abef-80d391a550d2-2021-10-14 10:57:31-0300;Americanas
Smart TV LED 43'' Full HD Philco PTV43E10N5SF Processador Quad Core Wi-Fi 2 HDMI 1 USB e Mídiacast;0;1699.99;https://www.americanas.com.br/produto/2680750728?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=602417010c07044266314653&buyboxToken=smartbuybox-acom-v2-510b1a93-2770-40a1-8a43-50ec52e2efc1-2021-10-14 10:59:39-0300;Americanas
"Smart TV LG 32"" HD 32LM627B Wi-Fi Bluetooth HDR Thinqai Compatível Com Inteligência Artificial";54;1599.99;https://www.americanas.com.br/produto/3397039818?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60d9d32652131c3c81fed98b&buyboxToken=smartbuybox-acom-v2-9fda3f9e-5f7b-4673-bf5e-64e986e262a2-2021-10-14 10:59:39-0300;Americanas
"Smart TV LED 32"" Philco PTV32G52S HD e Áudio Dolby Conversor Digital Integrado 2 HDMI 1 USB Wi-Fi com Netflix";207;1399.99;https://www.americanas.com.br/produto/1322119303?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5fad957cc5c9bbe5fccfe1a7&buyboxToken=smartbuybox-acom-v2-704650a0-f9a6-43f5-ae62-443e2d237d48-2021-10-14 10:59:39-0300;Americanas
"Smart TV Android LED 32"" Semp 32S5300 Bluetooth 2 HDMI 1 USB Controle Remoto com Comando de Voz e Google Assistant";687;1423.94;https://www.americanas.com.br/produto/134511851?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5d51b70af216c95bde3fab37&buyboxToken=smartbuybox-acom-v2-099f3c62-9784-4cce-83a3-df2cfd8ee098-2021-10-14 10:59:39-0300;Americanas
Smart TV AOC Roku LED 32'' 32S5195/78 Wi-Fi 3 HDMI 1 USB com Controle Remoto com atalhos Roku Mobile Miracast;320;1448.99;https://www.americanas.com.br/produto/1515029435?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e70d46d79bf8430cb4069ad&buyboxToken=smartbuybox-acom-v2-14e15695-15a3-4e38-b421-da0d6efb90c7-2021-10-14 10:59:39-0300;Americanas
Smart TV LED 43'' Samsung 43T5300 Full HD 2 HDMI 1 USB WiFi HDR para Brilho e Contraste com Plataforma Tizen - Preta;356;2199.99;https://www.americanas.com.br/produto/1618074407?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5eb0acc379bf8430cbf3e907&buyboxToken=smartbuybox-acom-v2-713fcfe3-8c0e-4200-9a7e-e14def7b2499-2021-10-14 10:52:47-0300;Americanas
"Smart TV LG 43"" Full HD 43LM6370 Wi-Fi Bluetooth HDR Thinqai Compatível Com Inteligência Artificial";26;2389.99;https://www.americanas.com.br/produto/3397039527?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60d9d3ad52131c3c81ffa096&buyboxToken=smartbuybox-acom-v2-e8061ba3-e5cf-4612-b904-6cfc5b73c4d5-2021-10-14 10:59:39-0300;Americanas
"Samsung Smart TV 32"" LH32BETBLGGXZD LED 2 HDMI 1 USB";14;1365.69;https://www.americanas.com.br/produto/1943745999?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6006142c0c070442661274cc&buyboxToken=smartbuybox-acom-v2-cbc8a9e3-2869-4bc7-b70f-2be8c9a5552f-2021-10-14 10:57:31-0300;Americanas
Smart TV 40'' Philco PTV40G60SNBL FHD com Tela Infinita Audio Dolby Loja de Aplicativos e Processador Quadcore;316;1699.99;https://www.americanas.com.br/produto/1508411046?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e84f47079bf8430cbbfa8e6&buyboxToken=smartbuybox-acom-v2-db9ec4b5-d84b-4207-99f6-b1b57a029032-2021-10-14 10:59:40-0300;Americanas
Smart TV AOC Roku LED 43'' 43S5195/78 com Wi-Fi Full HD 3 HDMI 1 USB com Controle Remoto com atalhos Roku Mobile Miracast,;306;1799.99;https://www.americanas.com.br/produto/1515649301?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e70d46d79bf8430cb40699a&buyboxToken=smartbuybox-acom-v2-0dbbf9e8-4309-4d2d-8f7a-8a824e2a1a52-2021-10-14 10:59:40-0300;Americanas
"Smart TV LED 43"" Full HD LG 43LM 631 PRO 3 HDMI 2 USB Wi-Fi ThinQ Al Conversor Digital";8;1996.65;https://www.americanas.com.br/produto/3787572503?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=613fb02809c351890db2ba72&buyboxToken=smartbuybox-acom-v2-95ad19fe-6f13-4138-b004-95759ef0a7d3-2021-10-14 10:59:40-0300;Americanas
"Smart TV Philco 42"" Roku LED Full HD - 42G52RCF com App Mobile 3 Hdmi 2 Usb Wifi Dolby Audio";9;1699.99;https://www.americanas.com.br/produto/3280822551?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6136384b09c351890db9fb8c;Americanas
Smart TV LED 42'' Philco Full HD - PTV42G70N5CF com Midiacast;0;1999.9;https://www.americanas.com.br/produto/2638610289?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60a55fb552131c3c8177ae09&buyboxToken=smartbuybox-acom-v2-d121640e-4f88-4281-bb71-216ef6496d99-2021-10-14 10:59:40-0300;Americanas
"Smart TV LED 39"" HD Philco PTV39G60S Processador Quad Core GPU Triple Core HDR Mídia Cast Wi-Fi 2 HDMI 1 USB";84;1599.99;https://www.americanas.com.br/produto/1695817622?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5ef1060d79bf8430cbebf2d7&buyboxToken=smartbuybox-acom-v2-0c71927c-56eb-4a06-a4a4-2c6257a8dff4-2021-10-14 10:59:40-0300;Americanas
Smart TV Led 43'' LG 43LM6300 FHD Thinq AI Conversor Digital Integrado 3 HDMI 2 USB Wi-Fi;853;2799.9;https://www.americanas.com.br/produto/134444740?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60cca96752131c3c81665f77&buyboxToken=smartbuybox-acom-v2-2a244864-8441-43e8-a9c4-5bb1661fc2f3-2021-10-14 10:59:40-0300;Americanas
"Smart TV LED 32"" Panasonic TC-32FS500B";37;1341.29;https://www.americanas.com.br/produto/1903221517?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5fb52a10762ff36719f1bd92&buyboxToken=smartbuybox-acom-v2-5676ac3e-796f-4620-bd2f-d2f68dd42b18-2021-10-14 10:59:40-0300;Americanas
"Samsung Smart Tv 50"" Uhd 4k 50au7700, Processador Crystal 4k, Tela Sem Limites, Visual Livre De Cabos, Alexa Built In.";92;3099.99;https://www.americanas.com.br/produto/3069506106?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=608acb2152131c3c81e23044&buyboxToken=smartbuybox-acom-v2-9e2e682c-04f0-466d-9c1e-730723e04c72-2021-10-14 10:58:10-0300;Americanas
"Smart TV LED LG 24"" Monitor Wi-Fi Webos 3.5 DTV Machine Ready";0;1156.99;https://www.americanas.com.br/produto/1708933455?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5ec52b7d79bf8430cbc05c97&buyboxToken=smartbuybox-acom-v2-54947549-514a-4752-a42a-d3461a769274-2021-10-14 10:59:40-0300;Americanas
Smart TV LED 55” Philco PTV55Q20SNBL Ultra HD 4k HDR Borda Infinita Com Aplicativos E Audio Dolby;282;2339.99;https://www.americanas.com.br/produto/1441079498?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e222edd1729c3bbf132061b&buyboxToken=smartbuybox-acom-v2-e185af91-366f-4d91-aae4-b3cd448f2e91-2021-10-14 10:59:40-0300;Americanas
"Samsung Smart Tv 60"" Crystal Uhd 4k 60au8000, Painel Dynamic Crystal Color, Design Slim, Tela Sem Limites.";56;3599.99;https://www.americanas.com.br/produto/3069509067?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=608acb6252131c3c81e2ab21&buyboxToken=smartbuybox-acom-v2-c4cfede9-e53e-4a83-ab30-823ad49ec5fc-2021-10-14 10:59:40-0300;Americanas
"Smart TV Philips 50"" UHD 4K 50PUG7625 Wi-Fi HDR10+ Dolby Vision e Dolby Atmos com Bluetooth Bordas Ultrafinas";111;2499.99;https://www.americanas.com.br/produto/2742387144?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6012d1b30c07044266c7eb4c&buyboxToken=smartbuybox-acom-v2-97515329-3b23-48ab-a893-9d320b62980f-2021-10-14 10:56:18-0300;Americanas
"Smart TV 50"" LG 50UN7310 UHD 4K Wifi Bluetooth Hdr Inteligência Artificial Thinq Ai";569;2999.99;https://www.americanas.com.br/produto/1733188661?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5ee7953a79bf8430cba74229&buyboxToken=smartbuybox-acom-v2-634cdf07-5ac1-4fcb-968d-83ae6c094fd0-2021-10-14 10:56:18-0300;Americanas
Samsung Smart TV LED 40'' Tizen FHD 40T5300 2020 com WIFI HDR para Brilho e Contraste e Plataforma Tizen;656;1727.89;https://www.americanas.com.br/produto/1704351001?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60f5bc6752131c3c81e933c9&buyboxToken=smartbuybox-acom-v2-6a792d00-8710-4432-990f-16258a8e7718-2021-10-14 11:27:52-0300;Americanas
Smart TV LED 32'' Samsung Tizen HD 32T4300 2020 - WIFI, HDR para Brilho e Contraste com Plataforma Tizen 2 HDMI 1 USB - Preta;838;1381.96;https://www.americanas.com.br/produto/1618074503?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=614937c909c351890d8be8f4&buyboxToken=smartbuybox-acom-v2-c6d03621-d159-454e-8667-5c8152122e8a-2021-10-14 11:23:28-0300;Americanas
Smart TV LED 43'' Full HD Philco PTV43E10N5SF Processador Quad Core Wi-Fi 2 HDMI 1 USB e Mídiacast;0;1699.99;https://www.americanas.com.br/produto/2680750728?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=602417010c07044266314653&buyboxToken=smartbuybox-acom-v2-64bf1574-35ee-47cb-9e84-9e0228ed5f88-2021-10-14 11:28:55-0300;Americanas
"Smart TV LG 32"" HD 32LM627B Wi-Fi Bluetooth HDR Thinqai Compatível Com Inteligência Artificial";54;1599.99;https://www.americanas.com.br/produto/3397039818?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60d9d32652131c3c81fed98b&buyboxToken=smartbuybox-acom-v2-9ec6feec-1da4-49e7-9d5b-b95af0c5c2c7-2021-10-14 11:25:58-0300;Americanas
"Smart TV LED 32"" Philco PTV32G52S HD e Áudio Dolby Conversor Digital Integrado 2 HDMI 1 USB Wi-Fi com Netflix";207;1399.99;https://www.americanas.com.br/produto/1322119303?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5fad957cc5c9bbe5fccfe1a7&buyboxToken=smartbuybox-acom-v2-1fe8fab0-034f-4580-b3b1-1b9e4e8ca4c7-2021-10-14 11:28:55-0300;Americanas
"Smart TV Android LED 32"" Semp 32S5300 Bluetooth 2 HDMI 1 USB Controle Remoto com Comando de Voz e Google Assistant";687;1423.94;https://www.americanas.com.br/produto/134511851?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5d51b70af216c95bde3fab37&buyboxToken=smartbuybox-acom-v2-049cd5b0-2f0d-43cd-be1b-a3fd33b33b02-2021-10-14 11:19:50-0300;Americanas
Smart TV AOC Roku LED 32'' 32S5195/78 Wi-Fi 3 HDMI 1 USB com Controle Remoto com atalhos Roku Mobile Miracast;320;1448.99;https://www.americanas.com.br/produto/1515029435?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e70d46d79bf8430cb4069ad&buyboxToken=smartbuybox-acom-v2-cf9de910-91bc-4b0a-85d9-b554cc2d87e5-2021-10-14 11:20:58-0300;Americanas
Smart TV LED 43'' Samsung 43T5300 Full HD 2 HDMI 1 USB WiFi HDR para Brilho e Contraste com Plataforma Tizen - Preta;356;2199.99;https://www.americanas.com.br/produto/1618074407?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5eb0acc379bf8430cbf3e907&buyboxToken=smartbuybox-acom-v2-2cf1650b-80ee-4603-84cf-fd5a34c768a4-2021-10-14 11:28:55-0300;Americanas
"Smart TV LG 43"" Full HD 43LM6370 Wi-Fi Bluetooth HDR Thinqai Compatível Com Inteligência Artificial";26;2389.99;https://www.americanas.com.br/produto/3397039527?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60d9d3ad52131c3c81ffa096&buyboxToken=smartbuybox-acom-v2-cc739983-aa87-4cda-9ee3-8367726ef528-2021-10-14 11:28:55-0300;Americanas
"Samsung Smart TV 32"" LH32BETBLGGXZD LED 2 HDMI 1 USB";14;1365.69;https://www.americanas.com.br/produto/1943745999?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6006142c0c070442661274cc&buyboxToken=smartbuybox-acom-v2-9b6b7c55-8eea-416b-a558-e238b1a46512-2021-10-14 11:22:24-0300;Americanas
Smart TV 40'' Philco PTV40G60SNBL FHD com Tela Infinita Audio Dolby Loja de Aplicativos e Processador Quadcore;316;1699.99;https://www.americanas.com.br/produto/1508411046?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e84f47079bf8430cbbfa8e6&buyboxToken=smartbuybox-acom-v2-0be3652b-e3b5-45f7-8d20-a3f859ca81d8-2021-10-14 11:19:53-0300;Americanas
Smart TV AOC Roku LED 43'' 43S5195/78 com Wi-Fi Full HD 3 HDMI 1 USB com Controle Remoto com atalhos Roku Mobile Miracast,;306;1799.99;https://www.americanas.com.br/produto/1515649301?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5e70d46d79bf8430cb40699a&buyboxToken=smartbuybox-acom-v2-5bf9aa5e-8d86-4d29-9da3-5aed5647a712-2021-10-14 11:28:55-0300;Americanas
"Smart TV Philco 42"" Roku LED Full HD - 42G52RCF com App Mobile 3 Hdmi 2 Usb Wifi Dolby Audio";9;1699.99;https://www.americanas.com.br/produto/3280822551?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6136384b09c351890db9fb8c;Americanas
"Smart TV LED 43"" Full HD LG 43LM 631 PRO 3 HDMI 2 USB Wi-Fi ThinQ Al Conversor Digital";8;1996.65;https://www.americanas.com.br/produto/3787572503?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=613fb02809c351890db2ba72&buyboxToken=smartbuybox-acom-v2-ed3fec97-4600-4eb5-89fd-b984e8687f44-2021-10-14 11:19:31-0300;Americanas
Smart TV LED 42'' Philco Full HD - PTV42G70N5CF com Midiacast;0;1999.9;https://www.americanas.com.br/produto/2638610289?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60a55fb552131c3c8177ae09&buyboxToken=smartbuybox-acom-v2-39dcc3ec-ce78-4f36-b77a-bbe436689ed8-2021-10-14 11:19:50-0300;Americanas
"Smart TV LED 39"" HD Philco PTV39G60S Processador Quad Core GPU Triple Core HDR Mídia Cast Wi-Fi 2 HDMI 1 USB";84;1599.99;https://www.americanas.com.br/produto/1695817622?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5ef1060d79bf8430cbebf2d7&buyboxToken=smartbuybox-acom-v2-f9e97d52-cc7c-4eab-97eb-d4b69515a77a-2021-10-14 11:19:50-0300;Americanas
Smart TV Led 43'' LG 43LM6300 FHD Thinq AI Conversor Digital Integrado 3 HDMI 2 USB Wi-Fi;853;2799.9;https://www.americanas.com.br/produto/134444740?pfm_carac=smart-tv&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60cca96752131c3c81665f77&buyboxToken=smartbuybox-acom-v2-3ccf762c-a03f-4336-bacf-c5cca38515d8-2021-10-14 11:19:04-0300;Americanas
