descricao,avaliacao,preco,url
Smartphone Samsung Galaxy A12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Preto,299.0,"1.044,05",https://www.americanas.com.br/produto/2655733694?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60253afa0c07044266797b6f&buyboxToken=smartbuybox-acom-v2-f55befa3-1a5a-4966-90ee-6bf1f27b5acd-2021-10-12 17:14:01-0300
Smartphone Samsung Galaxy A32 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 20MP - Azul,175.0,"1.378,60",https://www.americanas.com.br/produto/2969966651?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=606c9b330c07044266417b03&buyboxToken=smartbuybox-acom-v2-5a49170e-ccac-4129-950b-b807727baf8e-2021-10-12 17:14:01-0300
Smartphone Motorola Moto E7 Power 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Azul Metálico,118.0,"739,00",https://www.americanas.com.br/produto/2910438790?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=603903320c070442664cfd58&buyboxToken=smartbuybox-acom-v2-e0330bc6-479e-471d-9b49-aad2fe9bd6b3-2021-10-12 17:08:29-0300
Smartphone Samsung Galaxy A12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Branco,184.0,"969,10",https://www.americanas.com.br/produto/2655734451?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6006c8f10c07044266e90bbd&buyboxToken=smartbuybox-acom-v2-a55a3d50-35da-41ec-b755-fa8d4606fafe-2021-10-12 17:14:01-0300
Smartphone Moto G20 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Pink,34.0,"1.049,00",https://www.americanas.com.br/produto/3171317846?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=608bf37152131c3c8179ee52&buyboxToken=smartbuybox-acom-v2-203107f8-26f6-405c-840d-1708cc52dbdd-2021-10-12 17:12:31-0300
Smartphone Samsung Galaxy A02 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Vermelho,230.0,"699,30",https://www.americanas.com.br/produto/2891924708?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=604fb6170c07044266b85034&buyboxToken=smartbuybox-acom-v2-68409780-5621-47d5-95e0-6495087a734b-2021-10-12 17:12:16-0300
Smartphone Samsung Galaxy A22 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Branco,60.0,"1.312,00",https://www.americanas.com.br/produto/3518167649?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60feaddf52131c3c81f9e7d3&buyboxToken=smartbuybox-acom-v2-d9118124-200a-41d2-bead-0a7d9a345131-2021-10-12 17:09:17-0300
Smartphone Samsung Galaxy A02s 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 3GB RAM Câmera Tripla + Selfie 5MP - Vermelho,203.0,"791,10",https://www.americanas.com.br/produto/2655734742?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60194e9a0c07044266a2b351&buyboxToken=smartbuybox-acom-v2-5b8d044f-8694-4cf2-a3c4-f0f64afc1edf-2021-10-12 17:07:22-0300
Smartphone Motorola Moto E6i 32GB 4G Wi-Fi Tela 6.1'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Pink,58.0,"595,48",https://www.americanas.com.br/produto/2910438423?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6038f63a0c070442663a54e1&buyboxToken=smartbuybox-acom-v2-3e093fba-5e87-47b7-9f53-6f208cf31456-2021-10-12 17:08:29-0300
Smartphone Samsung Galaxy A02 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Preto,304.0,"699,30",https://www.americanas.com.br/produto/2891924281?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6040d97c0c07044266f9300f&buyboxToken=smartbuybox-acom-v2-cd32e130-49b5-4e93-8f58-1548ad2c5273-2021-10-12 17:13:18-0300
Smartphone Samsung Galaxy M62 128GB 8GB RAM Bateria de 7.000mAh Tela 6.7'' 4G Câmera Quádrupla + Selfie 32MP - Preto,76.0,"2.049,10",https://www.americanas.com.br/produto/3511305551?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6107bc7852131c3c816b962e&buyboxToken=smartbuybox-acom-v2-49f1691e-b43c-438a-92d6-e68e833b3921-2021-10-12 17:06:18-0300
Smartphone Samsung Galaxy M12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Azul,71.0,"1.021,97",https://www.americanas.com.br/produto/3163815845?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=613fb87109c351890dccff90&buyboxToken=smartbuybox-acom-v2-7665e651-450a-402e-89e5-d07f0f3a2643-2021-10-12 17:06:18-0300
Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud White,214.0,"2.279,00",https://www.americanas.com.br/produto/3234383930?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60a25e7752131c3c8106f4d9&buyboxToken=smartbuybox-acom-v2-c02fb4f8-6856-4715-b2c4-e69c80a1afcb-2021-10-12 17:07:50-0300
Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud Navy,416.0,"2.279,00",https://www.americanas.com.br/produto/3234381133?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60a25e7852131c3c8106f73e&buyboxToken=smartbuybox-acom-v2-342888f2-3b7f-4733-b156-93e745656acc-2021-10-12 17:09:17-0300
Smartphone Samsung Galaxy M62 128GB 8GB RAM Bateria de 7.000mAh Tela 6.7'' 4G Câmera Quádrupla + Selfie 32MP - Azul,68.0,"2.049,10",https://www.americanas.com.br/produto/3485484971?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6107bc7852131c3c816b96e1&buyboxToken=smartbuybox-acom-v2-91a7bf74-372f-41ff-94ab-2f66afd65771-2021-10-12 17:10:53-0300
Smartphone Motorola Moto E7 Power 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Vermelho Coral,46.0,"739,00",https://www.americanas.com.br/produto/2917268922?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6039032e0c070442664cef58&buyboxToken=smartbuybox-acom-v2-80967010-1e72-4e49-b232-71c358a3af58-2021-10-12 17:14:01-0300
Smartphone Samsung Galaxy M12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Verde,52.0,"959,20",https://www.americanas.com.br/produto/3163813452?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60b7508e52131c3c8127c763&buyboxToken=smartbuybox-acom-v2-51ab778f-781d-46ce-80df-b95146909f57-2021-10-12 17:14:01-0300
Smartphone Samsung Galaxy A12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Azul,162.0,"969,10",https://www.americanas.com.br/produto/2655733117?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6006c76b0c07044266e64b36&buyboxToken=smartbuybox-acom-v2-a9e8835c-ceed-43fc-b783-76fe39a91f15-2021-10-12 17:07:08-0300
Smartphone Motorola Moto G9 Plus 128GB 4G Wi-Fi Tela 6.8'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 16MP - Azul Índigo,348.0,"1.594,05",https://www.americanas.com.br/produto/1972840661?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f5a1022cc79e88b862f4c56&buyboxToken=smartbuybox-acom-v2-563f8c74-64c1-42cb-815c-88413c596860-2021-10-12 17:05:21-0300
Smartphone Samsung Galaxy A01 Core 32GB 4G Wi-Fi Tela 5.3'' Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Vermelho,310.0,"713,90",https://www.americanas.com.br/produto/1834711968?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f63a6c61b186381b5b355f8&buyboxToken=smartbuybox-acom-v2-bf9f7a73-aae7-44c9-863b-55c8f4fb279b-2021-10-12 17:12:16-0300
Smartphone LG K22 32GB 4G Wi-Fi Tela 6.2'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Vermelho,78.0,"664,05",https://www.americanas.com.br/produto/1965289015?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5fbc234a762ff367198807a9&buyboxToken=smartbuybox-acom-v2-622b2a30-58bc-4b71-ada5-4595daa496de-2021-10-12 17:14:01-0300
Smartphone Samsung Galaxy A02s 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 3GB RAM Câmera Tripla + Selfie 5MP - Preto,202.0,"806,55",https://www.americanas.com.br/produto/2655733184?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6035155a0c07044266e1d647&buyboxToken=smartbuybox-acom-v2-7d8979b5-fc51-4bcb-8ba5-274089ea49be-2021-10-12 17:14:01-0300
Smartphone Motorola Moto G100 256GB 5G Wi-Fi Tela 6.7'' Dual Chip 12GB RAM Câmera Tripla + Selfie 16MP + 8MP - Luminous Ocean,103.0,"2.979,00",https://www.americanas.com.br/produto/2917267090?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=605c04fd0c070442667a51e9&buyboxToken=smartbuybox-acom-v2-c9af4223-9f5d-427f-b9a8-6de583081692-2021-10-12 17:14:01-0300
Smartphone Samsung Galaxy A22 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Preto,54.0,"1.329,05",https://www.americanas.com.br/produto/3518165176?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=612e659309c351890d348924&buyboxToken=smartbuybox-acom-v2-f8542443-1d75-4bc1-9acd-0931968618d2-2021-10-12 17:07:50-0300
"Smartphone Motorola Moto E7 64GB Dual Chip Android 10 Tela 6.5"" Helio G25 Helio G25 (2,0 GHz Octa-Core) Câmera 48MP+2MP -  Cobre",46.0,"834,67",https://www.americanas.com.br/produto/2910438925?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6063778f0c07044266e0f1bc&buyboxToken=smartbuybox-acom-v2-b1069967-6017-42aa-8841-dca80f0cbe21-2021-10-12 17:14:01-0300
Smartphone Samsung Galaxy A12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Vermelho,110.0,"1.033,06",https://www.americanas.com.br/produto/2655733635?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60d37f5152131c3c81e078f2&buyboxToken=smartbuybox-acom-v2-09b036fb-892d-4909-9505-287c059c80b4-2021-10-12 17:07:50-0300
Smartphone Samsung Galaxy A02 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Azul,288.0,"699,30",https://www.americanas.com.br/produto/2891924134?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=604fb5ae0c07044266b7c49e&buyboxToken=smartbuybox-acom-v2-f849dd13-6651-4e42-bf7f-87ba005aaecf-2021-10-12 17:07:50-0300
Smartphone Motorola Moto E7 Plus 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Dupla + Selfie 8MP - Azul Navy,442.0,"1.034,55",https://www.americanas.com.br/produto/1966162104?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5faab233c5c9bbe5fcc89397&buyboxToken=smartbuybox-acom-v2-da4f7b57-61f3-4a1b-a8de-0787d2e4fb97-2021-10-12 17:14:01-0300
Smartphone Motorola Moto  E7 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Aquamarine,15.0,"779,00",https://www.americanas.com.br/produto/2626418177?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60a54a3d52131c3c81412171&buyboxToken=smartbuybox-acom-v2-6a519142-4dac-495f-bd8a-414617cb9e95-2021-10-12 17:14:01-0300
Smartphone Motorola Moto E7 Dual Chip Android 10 Tela 6.5” 64GB Câmera 48MP + 2MP Frontal 5MP – Cinza Metálico,51.0,"834,67",https://www.americanas.com.br/produto/2945004078?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=606377b60c07044266e1d975&buyboxToken=smartbuybox-acom-v2-7dc7357b-da3f-4eed-b7d9-4252257f227a-2021-10-12 17:12:16-0300
Smartphone Samsung Galaxy A72 128GB 4G Wi-Fi Tela 6.7'' Dual Chip 6GB RAM Câmera Quádrupla + Selfie 32MP - Preto,299.0,"2.245,50",https://www.americanas.com.br/produto/2937116379?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60fb0c3152131c3c814c9362&buyboxToken=smartbuybox-acom-v2-e4dcf49b-8961-4589-9543-d89dc8a48474-2021-10-12 17:12:16-0300
Smartphone Moto G60 128GB 4G Wi-Fi Tela 6.8'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Champagne,64.0,"1.794,55",https://www.americanas.com.br/produto/3171319315?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60f9850652131c3c81677d13&buyboxToken=smartbuybox-acom-v2-e2956e3d-6f74-4dc4-8027-3e8d3c847953-2021-10-12 17:12:16-0300
Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud Mint,143.0,"2.279,00",https://www.americanas.com.br/produto/3234383059?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60a25e7852131c3c8106f829&buyboxToken=smartbuybox-acom-v2-903aa3dc-e940-4c83-8a9e-4fc27bf22f5e-2021-10-12 17:07:50-0300
Smartphone Samsung Galaxy A72 128GB 4G Wi-Fi Tela 6.7'' Dual Chip 6GB RAM Câmera Quádrupla + Selfie 32MP - Branco,169.0,"2.304,07",https://www.americanas.com.br/produto/2937116766?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=606c9b8c0c0704426641fbcf&buyboxToken=smartbuybox-acom-v2-e9318518-176d-4449-b589-d7f1092244c4-2021-10-12 17:14:01-0300
Smartphone Samsung Galaxy A22 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Violeta,53.0,"1.287,08",https://www.americanas.com.br/produto/3518175041?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=613be95d09c351890d7901ad&buyboxToken=smartbuybox-acom-v2-16743c52-1a7a-4725-87ef-6ebd4e37b3b4-2021-10-12 17:14:01-0300
"Smartphone Motorola Moto G20 128GB 4G Wi-Fi Tela 6,5'' Dual Chip 4GB RAM Câmera Quadrupla + Selfie 13MP - Verde",5.0,"1.349,10",https://www.americanas.com.br/produto/3805073830?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=613f667809c351890de966b1
Smartphone Motorola Moto G9 Play 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Tripla + Selfie 8MP - Verde Turquesa,810.0,"1.248,01",https://www.americanas.com.br/produto/1972840872?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60a2c6a252131c3c81a46da2&buyboxToken=smartbuybox-acom-v2-33564415-39d2-4d80-adcf-1993050a8406-2021-10-12 17:14:01-0300
Smartphone Samsung Galaxy A22 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Verde,32.0,"1.329,05",https://www.americanas.com.br/produto/3506791591?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=615cacee09c351890dc65111&buyboxToken=smartbuybox-acom-v2-0d592768-ce0a-45e3-9c12-c68cb3235f9a-2021-10-12 17:14:01-0300
"Smartphone Samsung Galaxy M32 128GB 4G Wi-Fi Tela 6,4'' Dual Chip 6GB RAM Câmera Quadrupla + Selfie 20MP - Preto",18.0,"1.392,07",https://www.americanas.com.br/produto/3501167474?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6107bc8652131c3c816bafda&buyboxToken=smartbuybox-acom-v2-af92f3ae-9d91-4e04-83da-3c0cb0be0df0-2021-10-12 17:10:53-0300
Smartphone Samsung Galaxy A01 Core 32GB 4G Wi-Fi Tela 5.3'' Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Azul,326.0,"713,90",https://www.americanas.com.br/produto/1834712389?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f63a6bb1b186381b5b31a52&buyboxToken=smartbuybox-acom-v2-2fe23aa1-5e6e-44a4-8e31-a247c2f3f3f9-2021-10-12 17:14:01-0300
"Smartphone Samsung Galaxy M32 128GB 4G Wi-Fi Tela 6,4'' Dual Chip 6GB RAM Câmera Quadrupla + Selfie 20MP - Azul",20.0,"1.378,60",https://www.americanas.com.br/produto/3501167482?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6107bc8652131c3c816bb13b&buyboxToken=smartbuybox-acom-v2-52c0d4e8-1301-4f6b-a04c-f52c6b966e2d-2021-10-12 17:12:16-0300
Smartphone Motorola Moto E6i 32GB 4G Wi-Fi Tela 6.1'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Cinza Titanium,80.0,"809,01",https://www.americanas.com.br/produto/2910437471?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6140979a09c351890d4008df&buyboxToken=smartbuybox-acom-v2-a209df62-033f-4343-9e44-6ccf4d209c72-2021-10-12 17:14:01-0300
Smartphone Moto G60 128GB 4G Wi-Fi Tela 6.8'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Azul,115.0,"2.199,90",https://www.americanas.com.br/produto/3177003864?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=60f9849052131c3c8166ea23&buyboxToken=smartbuybox-acom-v2-94816350-c108-4881-901a-ffa1fb534c0e-2021-10-12 17:14:01-0300
Smartphone Motorola Moto E7 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Cinza Metálico,20.0,"779,00",https://www.americanas.com.br/produto/2626417844?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5ffde0300c070442665431c9&buyboxToken=smartbuybox-acom-v2-9dc7c143-c245-4550-9253-bf0f362f8e7f-2021-10-12 17:12:16-0300
Smartphone LG K22 32GB 4G Wi-Fi Tela 6.2'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Titânio,149.0,"664,05",https://www.americanas.com.br/produto/1965289525?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5fbc234a762ff367198807ed&buyboxToken=smartbuybox-acom-v2-e055ad8d-9e71-44ef-8248-6a4ddd2189dc-2021-10-12 17:12:16-0300
Smartphone Motorola Moto G9 Play 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Tripla + Selfie 8MP - Azul Safira,549.0,"1.259,00",https://www.americanas.com.br/produto/1962217067?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f9306271b186381b508d835&buyboxToken=smartbuybox-acom-v2-3960bef3-5a46-4660-a806-a9fc3492ad02-2021-10-12 17:14:01-0300
Smartphone Motorola Moto E6s 64GB 4G Wi-Fi Tela 6.1'' Dual Chip 4GB RAM Câmera Dupla + Selfie 5MP - Vermelho Magenta,91.0,"822,78",https://www.americanas.com.br/produto/2799308831?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=61423c3c09c351890d66a863&buyboxToken=smartbuybox-acom-v2-f2677df3-08f2-44bc-b60e-0dcbc8b221c0-2021-10-12 17:12:16-0300
Smartphone Samsung Galaxy Note 20 Ultra 256GB 5G Wi-Fi Tela 6.9'' Dual Chip 12MP RAM Câmera Tripla + Selfie 10MP - Mystic Black,79.0,"4.878,70",https://www.americanas.com.br/produto/1962216929?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=5f505cefcc79e88b8690343a&buyboxToken=smartbuybox-acom-v2-728c49fe-2777-4a8f-a98f-0c31f009e976-2021-10-12 17:06:29-0300
Smartphone Samsung Galaxy A72 128GB 4G Wi-Fi Tela 6.7'' Dual Chip 6GB RAM Câmera Quádrupla + Selfie 32MP - Azul,173.0,"2.245,50",https://www.americanas.com.br/produto/2937116299?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=61001fde52131c3c81cee760&buyboxToken=smartbuybox-acom-v2-01c35176-412e-4a94-b50f-348d5617af11-2021-10-12 17:10:53-0300
"Smartphone Samsung Galaxy A03s 64GB 4G Wi-Fi Tela 6,5'' Dual Chip 4GB RAM Câmera Tripla + Selfie 5MP - Azul",2.0,"929,05",https://www.americanas.com.br/produto/3695304296?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=612cc3d909c351890d3d8ad2&buyboxToken=smartbuybox-acom-v2-be5f01ee-3e4c-45e1-8f5e-2e9182e9459f-2021-10-12 17:14:01-0300
"Smartphone Samsung Galaxy M32 128GB 4G Wi-Fi Tela 6,4'' Dual Chip 6GB RAM Camera Quadrupla + Selfie 20MP - Branco",11.0,"1.391,71",https://www.americanas.com.br/produto/3519863582?pfm_carac=smartphone&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6107bc8752131c3c816bb4e7
